k;seed;inf;tim
0;499;0.000000;0.000693
10;211;0.085400;0.456047
20;169;0.176000;1.317715
30;467;0.208000;2.329729
40;189;0.239000;3.394372
50;53;0.304000;4.487898
60;42;0.345400;5.602449
70;11;0.374900;6.736989
80;81;0.419300;7.895502
90;435;0.446600;9.066869
100;254;0.472600;10.256345
110;176;0.510200;11.462653
120;346;0.533900;12.681769
130;106;0.574300;13.914395
140;494;0.596700;15.156216
150;469;0.630800;16.410363
160;108;0.651300;17.671075
170;470;0.674600;18.943914
180;405;0.695500;20.224039
190;39;0.710100;21.508817
200;484;0.725800;22.801534
210;230;0.738000;24.095307
220;166;0.757600;25.397482
230;84;0.772400;26.705870
240;495;0.795200;28.016854
250;408;0.811700;29.332238
260;112;0.823600;30.650063
270;232;0.839000;31.972066
280;4;0.854700;33.298585
290;372;0.864100;34.626020
300;349;0.879300;35.956111
310;191;0.890400;37.286138
320;293;0.895800;38.618149
330;267;0.906900;39.952520
340;311;0.920000;41.285275
350;356;0.923500;42.616575
360;381;0.935300;43.944900
370;88;0.943600;45.272634
380;57;0.952300;46.600811
390;308;0.956500;47.931960
400;117;0.963200;49.262214
410;340;0.968000;50.591582
420;274;0.972300;51.917655
430;185;0.975500;53.243070
440;337;0.982800;54.568125
450;283;0.988500;55.888502
460;271;0.991600;57.207856
470;265;0.994800;58.525555
480;280;0.997100;59.841806
490;307;0.998600;61.155686
