k;seed;inf;tim
0;263;0.000000;0.000069
10;189;0.000000;0.061377
20;53;0.002000;0.128350
30;475;0.002000;0.205901
40;155;0.008000;0.290868
50;260;0.015000;0.391704
60;258;0.013000;0.507056
70;331;0.031000;0.637046
80;105;0.046000;0.783006
90;190;0.074000;0.945973
100;153;0.100000;1.128493
110;113;0.127000;1.331635
120;220;0.165000;1.554740
130;250;0.198000;1.797743
140;167;0.240000;2.059983
150;204;0.280000;2.337419
160;138;0.309000;2.629404
170;493;0.370000;2.933608
180;227;0.398000;3.249825
190;453;0.413000;3.574294
200;344;0.442000;3.910042
210;231;0.484000;4.250853
220;38;0.519000;4.597252
230;494;0.539000;4.948151
240;72;0.574000;5.305564
250;484;0.591000;5.668264
260;425;0.638000;6.042092
270;268;0.694000;6.415778
280;159;0.708000;6.792922
290;213;0.712000;7.172811
300;130;0.719000;7.554907
310;328;0.753000;7.940309
320;252;0.758000;8.328579
330;413;0.792000;8.716526
340;43;0.812000;9.106635
350;104;0.841000;9.498698
360;120;0.849000;9.892087
370;327;0.871000;10.286699
380;300;0.870000;10.681230
390;364;0.876000;11.076017
400;301;0.909000;11.471260
410;232;0.923000;11.865609
420;309;0.936000;12.265814
430;67;0.946000;12.660165
440;96;0.959000;13.054713
450;69;0.966000;13.448357
460;29;0.974000;13.841920
470;317;0.980000;14.236579
480;461;0.986000;14.629109
490;307;0.997000;15.019573
