k;seed;inf;tim
0;1;0.000000;0.000000
10;121;0.000000;0.000000
20;70;0.000000;0.000000
30;160;0.000000;0.000000
40;182;0.000000;0.000000
50;260;0.000000;0.000000
60;322;0.000000;0.000000
70;332;0.000000;0.000000
80;435;0.000000;0.000000
90;467;0.000000;0.000000
100;490;0.000667;0.000000
110;198;0.000000;0.000000
120;93;0.000667;0.000000
130;102;0.000000;0.000000
140;236;0.000667;0.000000
150;243;0.001333;0.000000
160;335;0.002667;0.000000
170;442;0.002667;0.000000
180;469;0.000000;0.000000
190;8;0.003333;0.000000
200;40;0.000667;0.000000
210;177;0.003333;0.000000
220;166;0.007333;0.000000
230;167;0.004667;0.000000
240;457;0.006000;0.000000
250;355;0.006000;0.000000
260;312;0.007333;0.000000
270;437;0.015333;0.000000
280;15;0.018000;0.000000
290;21;0.021333;0.000000
300;32;0.020000;0.000000
310;88;0.014667;0.000000
320;242;0.028000;0.000000
330;298;0.022000;0.000000
340;323;0.018667;0.000000
350;460;0.058667;0.000000
360;9;0.166667;0.000000
370;126;0.151333;0.000000
380;131;0.195333;0.000000
390;349;0.199333;0.000000
400;321;0.190000;0.000000
410;27;0.262667;0.000000
420;129;0.257333;0.000000
430;272;0.272667;0.000000
440;414;0.378667;0.000000
450;271;0.392000;0.000000
460;73;0.457333;0.000000
470;55;0.467333;0.000000
480;289;0.499333;0.000000
490;285;0.535333;0.000000
