k;seed;inf;tim
0;152;0.000000;0.000000
10;491;0.000000;0.000000
20;110;0.000000;0.000000
30;224;0.000000;0.000000
40;215;0.000000;0.000000
50;403;0.000000;0.000000
60;478;0.000000;0.000000
70;459;0.000000;0.000000
80;170;0.000000;0.000000
90;8;0.000000;0.000000
100;426;0.000667;0.000000
110;109;0.000000;0.000000
120;444;0.000667;0.000000
130;84;0.002000;0.000000
140;467;0.002667;0.000000
150;495;0.004000;0.000000
160;2;0.002000;0.000000
170;409;0.002000;0.000000
180;355;0.003333;0.000000
190;249;0.005333;0.000000
200;479;0.002000;0.000000
210;262;0.003333;0.000000
220;178;0.000667;0.000000
230;61;0.002667;0.000000
240;251;0.015333;0.000000
250;274;0.006667;0.000000
260;166;0.011333;0.000000
270;335;0.012000;0.000000
280;489;0.015333;0.000000
290;295;0.012000;0.000000
300;50;0.018667;0.000000
310;5;0.016000;0.000000
320;398;0.026667;0.000000
330;96;0.028667;0.000000
340;9;0.050667;0.000000
350;151;0.056000;0.000000
360;303;0.052000;0.000000
370;425;0.097333;0.000000
380;49;0.094667;0.000000
390;364;0.101333;0.000000
400;421;0.099333;0.000000
410;466;0.090667;0.000000
420;95;0.102000;0.000000
430;82;0.106667;0.000000
440;351;0.114000;0.000000
450;23;0.100667;0.000000
460;465;0.108667;0.000000
470;47;0.259333;0.000000
480;73;0.347333;0.000000
490;75;0.602667;0.000000
