k;seed;inf;tim
0;263;0.000020;0.000135
10;111;0.003150;0.441174
20;261;0.009460;1.163125
30;424;0.018200;2.191447
40;380;0.031690;3.528797
50;314;0.047330;5.131791
60;0;0.061330;7.013666
70;43;0.075800;9.143962
80;9;0.090250;11.473895
90;272;0.109260;14.017431
100;282;0.133370;16.723444
110;350;0.149360;19.605067
120;307;0.171200;22.610437
130;174;0.200080;25.779462
140;16;0.222530;29.074739
150;493;0.223890;32.494216
160;322;0.223120;35.909162
170;441;0.223360;39.423648
180;439;0.225080;42.913419
190;176;0.224850;46.340385
200;435;0.225620;49.838582
210;182;0.225810;53.354817
220;426;0.226250;56.882561
230;158;0.227230;60.465549
240;490;0.241770;64.110982
250;420;0.258560;67.722060
260;191;0.270660;71.388686
270;280;0.280360;75.085809
280;151;0.296280;78.857006
290;384;0.315230;82.741146
300;202;0.322280;86.690548
310;241;0.323500;90.642286
320;266;0.337120;94.600209
330;82;0.356320;98.645279
340;175;0.379900;102.738762
350;373;0.402560;106.934180
360;379;0.402760;111.083884
370;431;0.404830;115.295255
380;10;0.406130;119.618994
390;398;0.410360;123.895236
400;157;0.450000;128.239500
410;324;0.472900;132.586882
420;51;0.480240;137.068689
430;106;0.485740;141.518929
440;393;0.539250;146.050533
450;190;0.542170;150.582645
460;407;0.544670;155.188667
470;98;0.578630;159.775270
480;340;0.602200;164.436167
490;17;0.648460;169.126744
