k;seed;inf;tim
0;-1;0.000000;0.000007
10;-1;0.000000;0.000016
20;-1;0.000000;0.000024
30;-1;0.000000;0.000032
40;-1;0.000000;0.000038
50;-1;0.000000;0.000045
60;-1;0.000000;0.000051
70;-1;0.000000;0.000059
80;-1;0.000000;0.000065
90;-1;0.000000;0.000072
100;-1;0.000000;0.000078
110;-1;0.000000;0.000084
120;-1;0.000000;0.000090
130;-1;0.000000;0.000099
140;-1;0.000000;0.000105
150;-1;0.000000;0.000111
160;-1;0.000000;0.000117
170;-1;0.000000;0.000123
180;-1;0.000000;0.000130
190;-1;0.000000;0.000136
