k;seed;inf;tim
0;1;0.000000;0.000219
10;2037;0.008950;19.891841
20;3023;0.033875;38.455617
30;3689;0.249300;58.012196
40;3604;0.405450;77.235144
50;3694;0.448150;96.479629
60;3703;0.490600;115.011091
70;3585;0.508850;134.270435
80;3446;0.531600;153.284029
90;3278;0.544125;173.484066
100;3710;0.556400;193.749006
110;3432;0.568150;212.307094
120;3397;0.573325;230.674490
130;3553;0.579725;249.393953
140;3586;0.585275;267.837362
150;3137;0.592825;287.304244
160;3569;0.599375;305.556720
170;3545;0.605000;324.818612
180;1664;0.609725;343.390118
190;3745;0.615425;361.844423
200;3390;0.011765;381.977183
