k;seed;inf;tim
0;1;0.000000;0.001188
10;2215;0.008475;18.138348
20;2685;0.021225;36.829136
30;3448;0.118275;55.493633
40;563;0.245650;73.223222
50;2654;0.400050;90.852402
60;3393;0.437725;109.477199
70;1866;0.491600;128.678137
80;3373;0.505375;148.988658
90;1616;0.527825;168.379156
100;1365;0.543675;186.617073
110;299;0.558450;204.667375
120;3498;0.566700;223.564352
130;2083;0.572925;241.102103
140;2216;0.577300;258.875719
150;1054;0.582000;276.725909
160;54;0.585800;295.361832
170;546;0.590300;315.925397
180;42;0.594525;335.722017
190;1503;0.599400;355.260071
200;1524;0.603225;374.706593
