k;seed;inf;tim
0;3781;0.000000;0.005766
10;2130;0.006700;36.286363
20;2683;0.024125;85.943394
30;3251;0.141950;139.367386
40;3746;0.349250;192.885040
50;3728;0.425325;247.959959
60;1866;0.482925;302.092373
70;3373;0.500750;357.733851
80;3416;0.521775;414.071699
90;892;0.540600;472.283552
100;3710;0.552925;529.257758
110;2901;0.564875;585.608064
120;563;0.571775;641.224510
130;3180;0.580375;698.047659
140;729;0.586300;755.975662
150;3617;0.591950;814.492969
160;3499;0.599425;873.368451
170;776;0.603725;931.152005
180;1272;0.609075;989.548526
190;1534;0.614275;1047.745453
200;1952257862;0.060294;0.024147
