k;seed;inf;tim
0;1;0.000000;1520.124492
10;3430;0.000800;10645.651560
20;3057;0.001000;10683.085993
30;3689;0.001000;10901.435884
40;3339;0.001200;11101.137732
50;924;0.001600;16495.755900
60;3753;0.002200;10856.991161
70;3131;0.002800;10832.643230
80;1684;0.003800;16235.495982
90;3719;0.004600;16297.366196
100;3593;0.005000;16340.148872
110;3395;0.005600;16391.463455
120;3499;0.005600;16444.083975
130;2661;0.006000;16467.324374
140;1811;0.006400;10960.745986
150;341;0.006200;11021.547071
160;3630;0.007000;11049.635363
170;3304;0.007600;11070.406609
180;1;0.009000;11057.932702
190;3603;0.009400;11065.238484
200;1129;0.009200;16759.213555
