k;seed;inf;tim
0;23;0.000000;0.000434
10;5482;0.019550;31.808581
20;942;0.028300;63.882560
30;1226;0.045900;95.991630
40;1542;0.054025;127.980653
50;3097;0.058200;160.107012
60;1023;0.064700;192.037509
70;3988;0.072925;224.421043
80;980;0.079225;256.166329
90;1240;0.084550;287.679160
100;322;0.091000;319.784029
110;3924;0.093775;351.798202
120;3649;0.098775;383.819336
130;657;0.102625;416.025092
140;3966;0.102450;448.023533
150;482;0.104475;480.276659
160;750;0.105950;512.468051
170;3445;0.106575;544.794277
180;3712;0.106575;577.065546
190;3904;0.108250;609.092885
200;4222;0.108000;640.524887
210;1438;0.109375;672.556671
220;5239;0.109000;704.268459
230;2164;0.108900;736.407860
240;1340;0.108575;768.373453
250;4327;0.109750;800.185898
260;4176;0.109100;831.905913
270;2314;0.108875;863.695050
280;1702;0.109100;895.801404
290;1764;0.108900;927.994242
300;5155;0.109375;959.911796
310;3506;0.108450;992.160313
320;1839;0.109925;1024.171775
330;4825;0.109875;1056.323398
340;4673;0.109650;1088.205350
350;4149;0.109500;1120.374909
360;1167;0.110275;1152.023327
370;1950;0.110325;1184.087073
380;3340;0.109325;1215.786519
390;3835;0.110225;1248.403964
400;5691;0.110275;1280.655514
410;4855;0.109300;1312.882910
420;2949;0.109150;1344.801854
430;1925;0.110400;1376.744407
440;4684;0.110350;1408.755491
450;918;0.110425;1440.952864
460;1647;0.110300;1473.295807
470;1842;0.111050;1505.271060
480;5604;0.109775;1537.300032
490;5249;0.110400;1569.439829
