k;seed;inf;tim
0;23;0.000000;0.001812
10;4014;0.007050;28.234345
20;4284;0.026350;57.899930
30;5553;0.119900;86.300700
40;4460;0.369200;115.020720
50;2738;0.420650;144.218391
60;442;0.461950;173.143033
70;4376;0.488725;201.313811
80;668;0.506300;229.858096
90;4202;0.526275;258.312878
100;4883;0.536125;286.426153
110;3460;0.543550;314.345360
120;3525;0.552050;343.617209
130;5464;0.555300;373.991249
140;5763;0.564575;404.129445
150;4451;0.567925;434.006472
160;4473;0.568400;462.977603
170;5340;0.572700;491.674266
180;2297;0.573650;521.047373
190;1352;0.577025;550.489921
200;2367;0.578675;579.966056
