k;seed;inf;tim
0;23;0.000000;0.001922
10;4055;0.006225;28.887726
20;1686;0.020750;57.808360
30;5619;0.119150;86.274680
40;3814;0.354050;114.794177
50;3634;0.417325;144.420219
60;1311;0.461200;174.392068
70;1542;0.491400;203.780035
80;1467;0.506475;232.112703
90;4202;0.526125;260.895162
100;4883;0.537500;290.293901
110;2044;0.542775;318.836120
120;4116;0.550225;348.616654
130;2869;0.557925;378.416691
140;4387;0.560675;407.205300
150;1972;0.564825;436.610431
160;300;0.568425;466.136639
170;2845;0.571575;495.212297
180;1352;0.573575;524.440211
190;2101;0.574475;554.711339
200;91;0.577275;584.344076
