k;seed;inf;tim
0;5880;0.000000;0.006223
10;3666;0.000000;24.336578
20;2096;0.000000;49.497864
30;1353;0.000600;77.014686
40;1527;0.001625;108.932069
50;2113;0.002425;144.242713
60;2090;0.003550;181.935307
70;3298;0.004550;223.008709
80;692;0.005575;267.304140
90;4981;0.006075;313.883625
100;1240;0.006475;361.202071
110;5026;0.006950;408.865963
120;3400;0.007875;457.034113
130;426;0.008625;505.450173
140;373;0.009025;553.948714
150;988;0.008975;602.493083
160;2027;0.009225;651.042669
170;5536;0.009325;699.658533
180;2428;0.009750;748.302919
190;4731;0.009925;796.986279
200;1142;0.009750;845.744011
210;2452;0.010075;894.566848
220;519;0.010025;943.388470
230;2003;0.009975;992.212338
240;4851;0.010225;1041.059482
250;1665;0.010575;1089.886500
260;3318;0.010350;1138.753371
270;5112;0.010000;1187.660983
280;1239;0.010300;1236.533123
290;3056;0.010125;1285.386806
300;3658;0.010175;1334.208243
310;967;0.010400;1383.064271
320;3136;0.010300;1432.362785
330;2253;0.010175;1481.517169
340;5113;0.010550;1530.379975
350;5617;0.010400;1579.190071
360;1013;0.010300;1628.031529
370;5854;0.010175;1676.848234
380;4812;0.010450;1725.702028
390;1773;0.010525;1774.568353
400;2655;0.010350;1825.820535
410;2137;0.010375;1877.488937
420;1438;0.010275;1926.556082
430;1644;0.010450;1976.152568
440;490;0.010400;2027.675898
450;2999;0.010550;2079.398281
460;4584;0.010425;2129.624557
470;4654;0.010525;2180.433751
480;172;0.010600;2232.126897
490;1055;0.010275;2281.020985
