k;seed;inf;tim
0;1154;0.000000;703.911860
10;4540;0.000000;25868.291885
20;3022;0.000000;50794.766034
30;4417;0.000000;75836.885995
40;4033;0.000000;101221.901764
50;3546;0.000000;126582.742153
60;3739;0.000000;151807.496126
70;4115;0.000000;176908.867252
80;4393;0.000000;202098.759994
90;785;0.000000;227309.253543
100;619;0.000000;252584.419835
110;2970;0.000000;277869.117825
120;527;0.000000;303056.512454
130;1101;0.000000;328213.020101
140;3767;0.000000;353284.455743
150;5560;0.000000;378369.542409
160;2538;0.000000;403449.919664
170;1768;0.000000;428512.207143
180;2631;0.000000;453566.357253
190;2509;0.000000;478599.648670
200;1812;0.000000;503631.497189
