k;seed;inf;tim
0;23;0.000000;0.000287
10;5703;0.000000;11.963542
20;668;0.000025;24.278875
30;4802;0.000350;36.915345
40;628;0.000525;49.555231
50;455;0.000800;61.510386
60;4310;0.000925;73.358295
70;939;0.001450;85.228275
80;2028;0.001650;97.118602
90;2096;0.001975;109.029254
100;5172;0.002175;120.950819
110;2164;0.002500;132.857163
120;3005;0.002700;144.974841
130;4525;0.003300;157.697217
140;883;0.004075;170.429039
150;5681;0.004075;183.177135
160;1075;0.004600;195.930105
170;912;0.005075;208.688697
180;5545;0.005425;221.447618
190;1142;0.006025;234.222195
200;2274;0.006425;246.999488
210;5632;0.006500;259.259508
220;901;0.006925;271.452182
230;1150;0.006850;283.448868
240;2977;0.007300;295.467917
250;5605;0.007650;307.478248
260;3875;0.007675;319.497626
270;5685;0.007875;331.531171
280;753;0.008550;343.582822
290;1185;0.009175;355.751194
300;1803;0.008975;367.837464
310;4878;0.009300;379.925330
320;2013;0.009075;392.014547
330;1523;0.009275;404.123332
340;4486;0.009750;416.226429
350;1373;0.009425;428.341548
360;4712;0.009350;440.470659
370;4632;0.009900;452.606840
380;4710;0.009750;464.758861
390;1956;0.009400;476.922569
400;5585;0.010100;489.082492
410;3361;0.009900;501.237522
420;3293;0.010025;513.390943
430;3485;0.009950;525.556113
440;4314;0.009675;537.732059
450;1818;0.010150;549.917462
460;3945;0.010500;562.102993
470;5288;0.010025;574.302989
480;965;0.010200;586.498097
490;4498;0.010050;598.722836
