k;seed;inf;tim
0;1550;0.003600;0.094329
10;17669;0.008200;6219.894333
20;77357;0.011200;12463.271436
30;76502;0.009300;18653.571124
40;80097;0.011300;24855.546707
50;78439;0.010500;30993.754013
60;58159;0.011300;36829.212915
70;6763;0.011300;42662.722428
80;61020;0.011700;48498.577559
90;52149;0.012100;54347.343199
100;17488;0.011500;60184.373049
110;78596;0.011500;66018.343266
120;81063;0.011300;71735.029545
130;76408;0.011400;77475.060450
140;37218;0.012000;83261.588801
150;78247;0.012000;89054.915711
160;76548;0.011500;94844.217105
170;78986;0.011200;100611.510493
180;815;0.011700;106366.024405
190;59054;0.011300;112132.057338
200;79557;0.011300;117903.252812
210;64105;0.011600;123737.140362
220;57656;0.011700;129588.674270
230;7344;0.011600;135445.011366
240;76647;0.011700;141306.672148
250;40161;0.011500;147176.707321
260;76437;0.011500;153041.740174
270;78722;0.011800;158917.214237
280;78428;0.011700;164797.966409
290;79148;0.011400;170674.734329
300;8895;0.012400;176574.573705
310;5758;0.011700;182311.871496
320;80007;0.012000;188082.108477
330;247;0.011900;193814.669715
340;78646;0.012200;199540.361651
350;77296;0.011300;205264.206931
360;40576;0.011300;211058.172302
370;77207;0.011400;216811.413402
380;77177;0.011900;222564.545845
390;79089;0.011600;228316.594425
400;77245;0.012000;234111.066403
410;76342;0.012100;239924.128124
420;79679;0.012100;245683.306983
430;78658;0.012300;251418.172518
440;77806;0.011800;257152.003363
450;38376;0.010800;262886.361083
460;79712;0.012400;268619.600148
470;187;0.011400;274353.719130
480;76568;0.011500;280087.694865
490;76410;0.012000;285825.742562
