k;seed;inf;tim
0;107;0.000000;0.003367
10;1843;0.000000;0.797917
20;2031;0.000000;3.577296
30;3774;0.000000;7.645779
40;2361;0.000000;12.873347
50;2792;0.000000;19.064426
60;42;0.000000;26.269696
70;76;0.000000;33.771315
80;1946;0.000000;41.643979
90;3604;0.000000;50.411401
100;1732;0.000000;59.444651
110;210;0.000000;68.626482
120;3425;0.000000;78.059729
130;1654;0.000000;87.536851
140;3930;0.000000;97.198793
150;3627;0.000000;106.973891
160;353;0.000000;116.933632
170;605;0.000000;126.999686
180;582;0.000000;137.039510
190;1506;0.000000;147.153780
200;1848;0.000000;157.042433
210;1341;0.000000;166.957507
220;2037;0.000000;177.202867
230;1763;0.000125;187.607158
240;1793;0.000700;198.262203
250;316;0.002500;208.846810
260;2982;0.007800;219.383445
270;807;0.009900;229.784984
280;324;0.015875;240.327665
290;234;0.024350;251.051686
300;192;0.018200;261.850120
