k;seed;inf;tim
0;107;0.000000;0.003340
10;1843;0.000000;0.784897
20;3592;0.000000;3.625937
30;348;0.000000;7.988140
40;2271;0.000000;13.218113
50;2786;0.000000;19.374877
60;390;0.000000;26.602620
70;2670;0.000000;34.208685
80;3172;0.000000;42.309473
90;8;0.000000;50.866691
100;3563;0.000000;59.764090
110;2633;0.000000;68.931818
120;259;0.000000;78.354870
130;1837;0.000000;88.030667
140;3627;0.000000;97.731474
150;2473;0.000000;107.322663
160;74;0.000000;117.357172
170;3987;0.000000;127.487570
180;582;0.000000;137.846833
190;374;0.000000;148.405567
200;3342;0.000000;159.013729
210;2051;0.000000;169.635112
220;3415;0.000000;179.983310
230;1964;0.000100;190.183831
240;321;0.000225;200.460311
250;2415;0.002200;211.002292
260;2982;0.004350;221.937998
270;1372;0.011550;232.391898
280;234;0.015725;243.388977
290;2042;0.021225;254.462437
300;378;0.027625;265.383129
