k;seed;inf;tim
0;107;0.000000;0.000189
10;3983;0.000000;0.066829
20;3961;0.000000;0.310003
30;3865;0.000000;0.709485
40;3730;0.000000;1.174105
50;3480;0.000000;1.718564
60;3415;0.000000;3.232090
70;2933;0.000000;5.266108
80;2910;0.000000;8.041123
90;2862;0.000000;11.383176
100;2670;0.000000;15.076624
110;2026;0.000000;18.875982
120;1808;0.000000;22.845759
130;1760;0.000000;26.964538
140;1392;0.000000;31.206399
150;1370;0.000000;36.047657
160;1354;0.000000;41.492358
170;1328;0.000000;47.442131
180;872;0.000000;53.782150
190;344;0.000000;60.241599
200;287;0.000000;66.868280
210;179;0.000000;73.598607
220;283;0.000700;80.378820
230;234;0.002150;87.220890
240;1708;0.004525;94.237597
250;812;0.007325;101.487201
260;4037;0.011075;108.947111
270;1837;0.015050;116.540326
280;3948;0.018575;124.267809
290;354;0.024700;132.134155
300;3958;0.030025;140.145573
310;1393;0.036800;148.276088
320;3608;0.043275;156.498710
330;2185;0.051050;164.786997
340;220;0.061775;173.113822
350;245;0.069625;181.464339
360;1698;0.076650;189.887228
370;202;0.088250;198.382999
380;1331;0.099300;206.955037
390;3828;0.112950;215.630896
400;3416;0.121700;224.367304
410;2895;0.131800;233.171765
420;1902;0.154575;242.099828
430;1245;0.169700;251.095496
440;839;0.190400;260.150220
450;1550;0.212075;269.293325
460;2772;0.222950;278.488849
470;1810;0.239700;287.746782
480;1746;0.261100;297.052179
490;3698;0.284675;306.384449
