k;seed;inf;tim
0;499;0.000000;0.000637
10;463;0.000000;0.035339
20;429;0.000000;0.124908
30;402;0.000000;0.256890
40;260;0.000000;0.418961
50;218;0.000000;0.614438
60;182;0.000000;0.848402
70;7;0.000200;1.111905
80;174;0.014400;1.399979
90;131;0.073000;1.710664
100;187;0.112100;2.043092
110;105;0.181100;2.395961
120;3;0.232800;2.768030
130;150;0.298200;3.157315
140;493;0.430700;3.560051
150;180;0.497800;3.976222
160;362;0.574000;4.404370
170;102;0.643000;4.841934
180;118;0.698700;5.288590
190;462;0.754400;5.742365
200;230;0.796200;6.202002
210;183;0.865400;6.666159
220;288;0.891300;7.133931
230;374;0.944800;7.605681
240;125;0.967200;8.079593
250;51;0.984200;8.555257
260;391;0.994300;9.033596
270;472;0.998800;9.514618
280;438;0.999600;9.996324
290;404;0.999600;10.479353
300;137;0.999600;10.964273
310;357;1.000000;11.449932
320;341;1.000000;11.936354
330;325;1.000000;12.423447
340;305;0.999800;12.910788
350;290;1.000000;13.399213
360;278;1.000000;13.888135
370;268;1.000000;14.375690
380;250;1.000000;14.863178
390;227;1.000000;15.350903
400;192;1.000000;15.839126
410;146;1.000000;16.327997
420;122;1.000000;16.818819
430;100;0.999900;17.311570
440;84;1.000000;17.806362
450;63;1.000000;18.300338
460;52;1.000000;18.793932
470;39;1.000000;19.287580
480;28;1.000000;19.781322
490;16;1.000000;20.275730
