k;seed;inf;tim
0;271;0.000000;0.000112
10;241;0.000000;0.015738
20;263;0.000000;0.044372
30;293;0.000000;0.084210
40;462;0.000000;0.134220
50;216;0.000000;0.189600
60;344;0.000000;0.252314
70;215;0.000000;0.321903
80;308;0.000000;0.395755
90;408;0.000000;0.473132
100;199;0.000400;0.553272
110;102;0.006300;0.637321
120;240;0.007500;0.726222
130;300;0.017700;0.819731
140;324;0.043700;0.918881
150;371;0.040400;1.022731
160;496;0.078200;1.131599
170;128;0.099800;1.245104
180;393;0.126400;1.362938
190;48;0.138800;1.485346
200;434;0.206400;1.611710
210;346;0.274600;1.741730
220;302;0.212000;1.874696
230;32;0.368700;2.010415
240;46;0.438200;2.148940
250;453;0.524900;2.290487
260;455;0.546300;2.433640
270;264;0.585200;2.578789
280;424;0.631900;2.725958
290;111;0.684700;2.874540
300;480;0.744400;3.024770
310;410;0.775800;3.176092
320;221;0.786400;3.328306
330;101;0.913100;3.481521
340;20;0.957900;3.635175
350;326;0.988800;3.788338
360;372;1.000000;3.941909
370;184;1.000000;4.095547
380;359;1.000000;4.249748
390;195;1.000000;4.404356
400;345;1.000000;4.558758
410;0;1.000000;4.713984
420;499;1.000000;4.869842
430;443;1.000000;5.025775
440;423;1.000000;5.182564
450;109;1.000000;5.340187
460;153;1.000000;5.498385
470;83;1.000000;5.657548
480;67;1.000000;5.816701
490;253;1.000000;5.976559
