k;seed;inf;tim
0;271;0.000000;0.000116
10;315;0.000000;0.010697
20;483;0.000000;0.028307
30;344;0.000000;0.053531
40;261;0.000000;0.084554
50;435;0.002500;0.120551
60;55;0.007000;0.162183
70;44;0.009900;0.209600
80;159;0.019700;0.262194
90;477;0.025400;0.319255
100;336;0.036600;0.380104
110;160;0.043600;0.445399
120;182;0.050300;0.515608
130;239;0.066700;0.590579
140;202;0.083500;0.669547
150;453;0.094700;0.752322
160;193;0.112000;0.839047
170;371;0.111400;0.929922
180;34;0.146400;1.024027
190;377;0.173900;1.121653
200;197;0.202800;1.223353
210;441;0.236000;1.327904
220;361;0.261000;1.436308
230;337;0.291600;1.547432
240;137;0.308500;1.662186
250;201;0.331000;1.780017
260;215;0.351800;1.900323
270;277;0.398900;2.023765
280;342;0.443600;2.150141
290;272;0.466600;2.278652
300;199;0.503700;2.409192
310;332;0.517500;2.541190
320;63;0.548200;2.674711
330;451;0.590000;2.809537
340;153;0.635900;2.946015
350;227;0.678600;3.084286
360;420;0.725600;3.224137
370;480;0.761700;3.365054
380;83;0.813800;3.506823
390;288;0.862400;3.649091
400;228;0.896500;3.792723
410;464;0.904600;3.936625
420;25;0.954200;4.081268
430;307;0.980500;4.226040
440;75;0.998600;4.371495
450;28;0.999400;4.517235
460;299;0.999700;4.662682
470;413;0.999900;4.808892
480;138;1.000000;4.955802
490;56;1.000000;5.103834
