k;seed;inf;tim
0;499;0.000000;0.000695
10;459;0.000000;0.020396
20;434;0.000000;0.073595
30;475;0.000000;0.161790
40;218;0.000000;0.273857
50;187;0.000000;0.413405
60;124;0.000100;0.580616
70;457;0.007000;0.770716
80;441;0.019000;0.982599
90;227;0.039600;1.210716
100;467;0.054700;1.456699
110;116;0.075400;1.722738
120;237;0.098800;2.008016
130;154;0.137500;2.311314
140;318;0.186500;2.638307
150;209;0.223600;2.986286
160;393;0.277500;3.352076
170;443;0.334600;3.732766
180;217;0.389300;4.127585
190;32;0.456300;4.534742
200;11;0.502700;4.954710
210;155;0.562200;5.385635
220;346;0.613200;5.826006
230;74;0.671400;6.275249
240;435;0.730900;6.733101
250;222;0.790500;7.197924
260;51;0.831800;7.668620
270;327;0.862700;8.144574
280;429;0.890200;8.623116
290;352;0.933100;9.105653
300;364;0.955300;9.590406
310;178;0.977300;10.077406
320;406;0.988600;10.565947
330;298;0.994000;11.056693
340;129;0.997100;11.548590
350;485;0.999700;12.041485
360;413;1.000000;12.535167
370;384;1.000000;13.029571
380;336;1.000000;13.524773
390;307;1.000000;14.019983
400;288;1.000000;14.515308
410;273;1.000000;15.010721
420;256;1.000000;15.506610
430;228;1.000000;16.003294
440;167;0.999900;16.500305
450;120;1.000000;16.997466
460;89;1.000000;17.494849
470;68;1.000000;17.992682
480;40;1.000000;18.491633
490;22;1.000000;18.990673
