k;seed;inf;tim
0;499;0.000000;0.000700
10;460;0.000000;0.021174
20;437;0.000000;0.072680
30;370;0.000000;0.159530
40;219;0.000000;0.271308
50;187;0.000000;0.409994
60;143;0.000000;0.576642
70;414;0.006500;0.767010
80;183;0.017200;0.979598
90;315;0.039000;1.207182
100;224;0.051700;1.453030
110;206;0.073900;1.718604
120;10;0.096800;2.003477
130;125;0.145700;2.306372
140;202;0.181400;2.631551
150;447;0.225400;2.978577
160;45;0.275500;3.343029
170;344;0.326300;3.723748
180;469;0.384400;4.116988
190;316;0.448000;4.523383
200;44;0.499000;4.941888
210;180;0.557600;5.371212
220;451;0.613000;5.810775
230;346;0.666400;6.259528
240;91;0.730800;6.716770
250;340;0.792900;7.181454
260;312;0.833600;7.651382
270;369;0.862900;8.126459
280;355;0.896000;8.605489
290;261;0.938600;9.087058
300;364;0.954500;9.571461
310;70;0.972800;10.058458
320;339;0.989300;10.546465
330;365;0.993700;11.035577
340;380;0.998100;11.526378
350;68;0.999200;12.019542
360;56;0.999900;12.512920
370;383;1.000000;13.006807
380;338;1.000000;13.501867
390;310;1.000000;13.996945
400;291;1.000000;14.491982
410;275;0.999900;14.987426
420;257;1.000000;15.483151
430;223;1.000000;15.978805
440;151;1.000000;16.475471
450;117;1.000000;16.972761
460;89;1.000000;17.470130
470;66;1.000000;17.968330
480;37;1.000000;18.466964
490;21;1.000000;18.965990
