k;seed;inf;tim
0;263;0.000000;0.000121
10;14;0.000000;0.012831
20;97;0.000000;0.040124
30;464;0.000000;0.079363
40;405;0.000000;0.128811
50;69;0.000000;0.188295
60;73;0.000000;0.257834
70;208;0.000000;0.332864
80;156;0.000000;0.411572
90;94;0.000800;0.493406
100;41;0.005800;0.578850
110;287;0.012100;0.670513
120;76;0.020600;0.766734
130;360;0.042200;0.868176
140;252;0.051200;0.973381
150;86;0.070100;1.082800
160;231;0.095700;1.196663
170;491;0.121600;1.315261
180;278;0.107700;1.438071
190;397;0.144800;1.565105
200;87;0.181600;1.696395
210;173;0.294700;1.831209
220;180;0.339600;1.969297
230;215;0.374500;2.110516
240;365;0.375100;2.254614
250;44;0.474700;2.401481
260;366;0.467700;2.550736
270;408;0.575000;2.701893
280;184;0.601000;2.855033
290;498;0.621300;3.009926
300;153;0.707000;3.165806
310;391;0.763400;3.323276
320;371;0.833900;3.481601
330;359;0.889900;3.641137
340;394;0.913800;3.801438
350;10;0.973700;3.962251
360;350;0.997500;4.123170
370;282;0.974200;4.284337
380;288;0.999900;4.445800
390;241;1.000000;4.607654
400;420;1.000000;4.769708
410;351;1.000000;4.932062
420;393;1.000000;5.095740
430;446;1.000000;5.259421
440;429;1.000000;5.423235
450;303;1.000000;5.587292
460;21;1.000000;5.751677
470;284;1.000000;5.916786
480;225;1.000000;6.082951
490;239;1.000000;6.249641
