k;seed;inf;tim
0;1;0.000000;0.001527
10;710;0.000000;0.289256
20;138;0.000000;0.847908
30;1018;0.000000;1.588062
40;527;0.000000;2.444395
50;1133;0.000000;3.390501
60;1908;0.000000;4.428270
70;10;0.000000;5.536349
80;1490;0.000000;6.722962
90;584;0.000000;7.985903
100;532;0.000000;9.300045
110;96;0.000000;10.691604
120;108;0.000000;12.147781
130;613;0.000000;13.673185
140;1158;0.000000;15.252756
150;1319;0.000000;16.910286
160;1269;0.000000;18.600970
170;589;0.000000;20.319962
180;1052;0.000000;22.058929
190;1811;0.000000;23.853282
200;1361;0.000000;25.722447
210;2242;0.000000;27.648588
220;2148;0.000000;29.620758
230;3677;0.000000;31.654968
240;639;0.000000;33.716213
250;8;0.000000;35.809035
260;2044;0.000000;37.936597
270;2343;0.000000;40.137411
280;2856;0.000000;42.325764
290;116;0.000000;44.598424
300;553;0.000000;46.898080
310;2527;0.000000;49.224462
320;1923;0.000000;51.571044
330;1274;0.000000;53.950570
340;1231;0.000000;56.357274
350;2680;0.000000;58.787288
360;830;0.000000;61.224951
370;1703;0.000000;63.731795
380;795;0.000000;66.266499
390;1699;0.000000;68.851269
400;945;0.000000;71.470741
410;135;0.000000;74.139563
420;2626;0.000000;76.845864
430;2888;0.000000;79.600459
440;2491;0.000000;82.418814
450;2963;0.000000;85.200963
460;713;0.000000;87.968555
470;3145;0.000000;90.745683
480;145;0.000000;93.625840
490;3760;0.000000;96.513089
