k;seed;inf;tim
0;3781;0.000000;0.007546
10;3770;0.000000;0.348201
20;3759;0.000000;1.036102
30;3749;0.000000;1.994598
40;3738;0.000000;3.201772
50;3728;0.000000;4.588659
60;3717;0.000000;6.184847
70;3703;0.000000;8.018449
80;3691;0.000000;10.031592
90;3680;0.000000;12.179398
100;3668;0.000000;14.475252
110;3653;0.000000;16.898578
120;3644;0.000000;19.477671
130;3629;0.000000;22.222483
140;3617;0.000000;25.162376
150;3606;0.000000;28.286355
160;3588;0.000000;31.576049
170;3572;0.000000;35.007896
180;3558;0.000000;38.642491
190;3551;0.000000;42.451047
200;3540;0.000000;46.356187
210;3529;0.000000;50.256474
220;3515;0.000000;54.245554
230;3502;0.000000;58.414895
240;3491;0.000000;62.782986
250;3479;0.000000;67.291347
260;3471;0.000000;71.905703
270;3455;0.000000;76.578509
280;3444;0.000000;81.335091
290;3433;0.000000;86.232472
300;3415;0.000000;91.308362
310;3403;0.000000;96.381674
320;3385;0.000000;101.612973
330;3362;0.000000;106.951795
340;3349;0.000000;112.332031
350;3333;0.000000;117.824582
360;3314;0.000000;123.473641
370;3300;0.000000;129.163674
380;3277;0.000000;134.911478
390;3266;0.000000;140.786683
400;3254;0.000000;146.818963
410;3235;0.000000;152.883171
420;714;0.000000;159.049469
430;3209;0.000000;165.203826
440;3190;0.000000;171.541733
450;3174;0.000000;177.934327
460;3166;0.000000;184.320772
470;3148;0.000000;190.852264
480;3136;0.000000;197.496951
490;3118;0.000000;204.181778
