k;seed;inf;tim
0;42;0.000000;0.018755
10;1971;0.000000;0.141216
20;256;0.000000;5.010453
30;3251;0.000000;5.456779
40;1804;0.000000;21.574001
50;636;0.000000;22.276428
60;1908;0.000000;53.609896
70;584;0.000000;54.507839
80;13;0.000000;104.260379
90;263;0.000000;105.315455
100;3296;0.000000;175.906731
110;1558;0.000000;177.103313
120;1186;0.000000;270.575123
130;3649;0.000000;271.885461
140;29;0.000000;388.887134
150;2752;0.000000;390.296108
160;593;0.000000;533.400237
170;1866;0.000000;534.903692
180;130;0.000000;704.927405
190;708;0.000000;706.518973
200;3656;0.000000;905.375923
