k;seed;inf;tim
0;1;0.000000;0.000916
10;710;0.000000;0.123805
20;875;0.000000;0.430650
30;583;0.000000;0.888714
40;562;0.000000;1.475208
50;742;0.000000;2.176475
60;557;0.000000;2.984052
70;715;0.000000;3.882933
80;893;0.000000;4.864536
90;348;0.000000;5.924955
100;19;0.000000;7.057929
110;128;0.000000;8.258562
120;690;0.000000;9.519576
130;1516;0.000000;10.842146
140;643;0.000000;12.221965
150;1316;0.000000;13.653170
160;1418;0.000000;15.138480
170;3649;0.000000;16.670695
180;1372;0.000000;18.248025
190;1386;0.000000;19.868433
200;1401;0.000000;21.532987
