k;seed;inf;tim
0;3781;0.000000;0.004362
10;3768;0.000000;0.321124
20;3759;0.000000;1.005594
30;3744;0.000000;2.126038
40;3735;0.000000;3.582267
50;3722;0.000000;5.205782
60;3709;0.000000;7.147337
70;3693;0.000000;9.391929
80;3679;0.000000;11.830968
90;3653;0.000000;14.462928
100;3629;0.000000;17.317001
110;3609;0.000000;20.441702
120;3567;0.000000;23.821263
130;3543;0.000000;27.425187
140;3531;0.000000;31.152146
150;3509;0.000000;34.999245
160;563;0.000000;39.016945
170;3468;0.000000;43.232144
180;3448;0.000000;47.644872
190;3422;0.000000;52.245697
200;837;0.058497;0.012082
