k;seed;inf;tim
0;3781;0.000000;0.004500
10;3769;0.000000;0.320923
20;3758;0.000000;1.000327
30;3748;0.000000;2.096308
40;3736;0.000000;3.526814
50;681;0.000000;5.128881
60;3712;0.000000;7.050962
70;3698;0.000000;9.269458
80;3681;0.000000;11.692773
90;3665;0.000000;14.306352
100;539;0.000000;17.139263
110;3617;0.000000;20.238868
120;3595;0.000000;23.596829
130;3553;0.000000;27.171444
140;3536;0.000000;30.905836
150;3528;0.000000;34.748629
160;3496;0.000000;38.743728
170;3474;0.000000;42.926267
180;45;0.000000;47.309823
190;3416;0.000000;51.883038
200;1411395296;0.038520;0.031032
