k;seed;inf;tim
0;1;0.000000;0.000986
10;611;0.000000;0.125479
20;815;0.000000;0.433640
30;609;0.000000;0.896009
40;69;0.000000;1.487004
50;603;0.000000;2.193020
60;518;0.000000;3.005958
70;1678;0.000000;3.911475
80;658;0.000000;4.900205
90;717;0.000000;5.970230
100;1025;0.000000;7.111695
110;13;0.000000;8.322371
120;1015;0.000000;9.596498
130;690;0.000000;10.931631
140;700;0.000000;12.322117
150;895;0.000000;13.770504
160;392;0.000000;15.268818
170;521;0.000000;16.817377
180;986;0.000000;18.408540
190;260;0.000000;20.041672
200;2664;0.000000;21.722752
