k;seed;inf;tim
0;1;0.000000;0.001635
10;1971;0.000000;0.182354
20;680;0.000000;0.549864
30;44;0.000000;1.052755
40;527;0.000000;1.658075
50;518;0.000000;2.355670
60;1804;0.000000;3.146754
70;260;0.000000;4.013813
80;1938;0.000000;4.952159
90;79;0.000000;5.958984
100;268;0.000000;7.023019
110;1652;0.000000;8.145748
120;1025;0.000000;9.316363
130;96;0.000000;10.541622
140;73;0.000000;11.815795
150;1817;0.000000;13.136714
160;1567;0.000000;14.505121
170;3296;0.000000;15.921882
180;1805;0.000000;17.370768
190;591;0.000000;18.860063
200;922;0.000000;20.390069
210;1186;0.000000;21.953881
220;263;0.000000;23.546570
230;1119;0.000000;25.178319
240;81;0.000000;26.846327
250;2311;0.000000;28.538523
260;936;0.000000;30.269109
270;2009;0.000000;32.031117
280;3723;0.000000;33.814616
290;3757;0.000000;35.625735
300;1973;0.000000;37.474415
310;2798;0.000000;39.326021
320;1979;0.000000;41.356584
330;2064;0.000000;43.450085
340;928;0.000000;45.559545
350;533;0.000000;47.690477
360;2622;0.000000;49.852765
370;49;0.000000;52.051207
380;1295;0.000000;54.271823
390;1894;0.000000;56.507351
400;506;0.000000;58.788673
410;2094;0.000000;61.094796
420;2155;0.000000;63.413306
430;2326;0.000000;65.756237
440;2144;0.000000;68.100713
450;1984;0.000000;70.466865
460;3541;0.000000;72.862777
470;3543;0.000000;75.256118
480;1997;0.000000;77.544774
490;1901;0.000000;79.759318
