k;seed;inf;tim
0;23;0.000000;0.001660
10;967;0.000000;0.094922
20;499;0.000000;0.300502
30;3793;0.000000;0.606141
40;1698;0.000000;1.020152
50;212;0.000000;1.531614
60;1526;0.000000;2.130766
70;4565;0.000000;2.820638
80;523;0.000000;3.600591
90;4283;0.000000;4.456137
100;4196;0.000000;5.387571
110;1809;0.000000;6.399410
120;4180;0.000000;7.491367
130;1684;0.000000;8.661108
140;1518;0.000000;9.907194
150;172;0.000000;11.223567
160;60;0.000000;12.612124
170;3548;0.000000;14.071568
180;427;0.000000;15.590640
190;5610;0.000000;17.171345
200;3249;0.000000;18.812730
