k;seed;inf;tim
0;5880;0.000000;0.006926
10;5869;0.000000;0.167842
20;5859;0.000000;0.524527
30;5849;0.000000;1.148945
40;5837;0.000000;1.943181
50;5820;0.000000;2.912234
60;5807;0.000000;4.034855
70;5795;0.000000;5.276750
80;5785;0.000000;6.689964
90;2571;0.000000;8.282718
100;5765;0.000000;9.972876
110;5754;0.000000;11.800754
120;5744;0.000000;13.745739
130;5733;0.000000;15.780301
140;5721;0.000000;17.973947
150;5709;0.000000;20.391558
160;5699;0.000000;23.077696
170;5687;0.000000;25.938608
180;5673;0.000000;28.912211
190;5661;0.000000;32.036374
200;845;0.175000;0.075000
