k;seed;inf;tim
0;23;0.000000;0.001752
10;967;0.000000;0.096044
20;499;0.000000;0.303342
30;1350;0.000000;0.609779
40;1698;0.000000;1.025010
50;4640;0.000000;1.538998
60;2115;0.000000;2.140235
70;3348;0.000000;2.831331
80;1778;0.000000;3.612766
90;1581;0.000000;4.470728
100;297;0.000000;5.404824
110;134;0.000000;6.419093
120;1322;0.000000;7.513265
130;4972;0.000000;8.682058
140;4827;0.000000;9.925600
150;1197;0.000000;11.245690
160;5258;0.000000;12.636221
170;5727;0.000000;14.094912
180;5523;0.000000;15.614254
190;424;0.000000;17.198375
200;353;0.000000;18.842159
