k;seed;inf;tim
0;23;0.000000;0.003455
10;2010;0.000000;0.173721
20;6;0.000000;0.474103
30;1846;0.000000;0.894402
40;93;0.000000;1.426260
50;5141;0.000000;2.071855
60;1715;0.000000;2.840142
70;4521;0.000000;3.721556
80;792;0.000000;4.711456
90;3449;0.000000;5.810212
100;1337;0.000000;7.018831
110;1154;0.000000;8.332551
120;5258;0.000000;9.748307
130;24;0.000000;11.257395
140;1319;0.000000;12.859734
150;4378;0.000000;14.569202
160;4969;0.000000;16.376556
170;3801;0.000000;18.242554
180;1616;0.000000;20.199835
190;5610;0.000000;22.260958
200;4143;0.000000;24.386636
210;3157;0.000000;26.576706
220;1479;0.000000;28.812511
230;2225;0.000000;31.168872
240;211;0.000000;33.596266
250;887;0.000000;36.058899
260;2285;0.000000;38.613364
270;80;0.000000;41.267723
280;5309;0.000000;43.992524
290;5341;0.000000;46.775203
300;3442;0.000000;49.665187
310;5025;0.000000;52.554920
320;2548;0.000000;55.535503
330;2252;0.000000;58.583282
340;3120;0.000000;61.689673
350;1464;0.000000;64.861673
360;613;0.000000;68.102404
370;5825;0.000000;71.443965
380;3298;0.000000;74.844126
390;4981;0.000000;78.267995
400;4460;0.000000;81.763416
410;1821;0.000000;85.281974
420;1155;0.000000;88.851435
430;2729;0.000000;92.447154
440;3317;0.000000;96.072747
450;1233;0.000000;99.754861
460;5791;0.000000;103.459349
470;4391;0.000000;107.217483
480;1210;0.000000;111.040258
490;5393;0.000000;114.876366
