k;seed;inf;tim
0;1550;0.000000;0.011129
10;81296;0.000000;2.099245
20;81286;0.000000;4.509072
30;81276;0.000000;7.139965
40;81266;0.000000;10.208523
50;81256;0.000000;13.747279
60;81246;0.000000;17.547678
70;81236;0.000000;21.597991
80;81226;0.000000;25.930321
90;81216;0.000000;30.498662
100;81206;0.000000;35.300791
110;81196;0.000000;40.189808
120;81186;0.000000;45.324339
130;81176;0.000000;50.958743
140;81166;0.000000;56.836274
150;81156;0.000000;63.129667
160;81146;0.000000;69.899471
170;81136;0.000000;77.174489
180;81126;0.000000;84.865794
190;81116;0.000000;92.763932
200;81106;0.000000;100.800373
210;81096;0.000000;109.151917
220;81086;0.000000;117.717648
230;81076;0.000000;126.499748
240;81066;0.000000;135.534351
250;81056;0.000000;144.652461
260;81046;0.000000;153.679190
270;81036;0.000000;162.991764
280;81026;0.000000;172.534689
290;81016;0.000000;182.467465
300;81006;0.000000;192.922358
310;80996;0.000000;203.634339
320;80986;0.000000;214.580544
330;80976;0.000000;225.998320
340;80966;0.000000;237.650284
350;80956;0.000000;249.778800
360;80946;0.000000;262.351741
370;80936;0.000000;275.130296
380;80926;0.000000;287.759216
390;80916;0.000000;300.513658
400;80906;0.000000;313.298185
410;80896;0.000000;326.168856
420;80886;0.000000;339.391809
430;80876;0.000000;352.710868
440;80866;0.000000;366.369783
450;80856;0.000000;380.410705
460;80846;0.000000;394.787037
470;80836;0.000000;409.362855
480;80826;0.000000;424.069549
490;80816;0.000000;439.259929
