k;seed;inf;tim
0;109;0.000000;0.003531
1;98;0.000000;0.005072
2;95;0.000000;0.007163
3;86;0.000000;0.009157
4;84;0.000000;0.011637
5;82;0.000300;0.014118
6;76;0.001700;0.017737
7;31;0.004000;0.022935
8;11;0.004700;0.030293
9;4;0.008800;0.038788
10;61;0.012000;0.047915
11;12;0.012700;0.057538
12;59;0.014500;0.067419
13;35;0.018200;0.077273
14;30;0.021900;0.087320
15;62;0.025500;0.097721
16;102;0.029700;0.108235
17;36;0.037100;0.118931
18;83;0.042500;0.129911
19;78;0.051800;0.141288
20;64;0.060200;0.153213
21;53;0.065000;0.165509
22;106;0.069900;0.177973
23;107;0.076300;0.190684
24;73;0.082900;0.203659
25;2;0.086300;0.216886
26;27;0.090900;0.230274
27;68;0.097100;0.243899
28;54;0.101800;0.257736
29;105;0.112900;0.271835
30;79;0.115900;0.286098
31;26;0.124400;0.300471
32;71;0.136100;0.315064
33;87;0.143100;0.329837
34;65;0.155100;0.344810
35;5;0.168600;0.359985
36;81;0.174000;0.375305
37;56;0.181400;0.390887
38;7;0.197000;0.406674
39;100;0.209000;0.422659
40;94;0.216100;0.438829
41;47;0.231000;0.455163
42;43;0.234200;0.471690
43;80;0.235600;0.488511
44;28;0.245900;0.505414
45;77;0.257400;0.522468
46;44;0.250000;0.539736
47;41;0.259100;0.557092
48;1;0.263600;0.574535
49;75;0.271600;0.592133
50;93;0.282700;0.609831
51;90;0.289100;0.627741
52;72;0.292000;0.645737
53;24;0.291500;0.663823
54;101;0.298900;0.682032
55;29;0.302700;0.700490
56;108;0.311300;0.718890
57;25;0.314700;0.737452
58;48;0.321100;0.756095
59;55;0.327800;0.774797
60;0;0.324800;0.793632
61;32;0.332600;0.812612
62;45;0.337200;0.831790
63;33;0.335500;0.851026
64;34;0.343100;0.870312
65;88;0.356400;0.889720
66;58;0.364000;0.909215
67;39;0.377500;0.928884
68;99;0.388400;0.948687
69;9;0.398600;0.968494
70;85;0.413600;0.988403
71;46;0.419400;1.008445
72;18;0.433500;1.028602
73;21;0.442700;1.048810
74;40;0.447400;1.069079
75;42;0.444500;1.089459
76;19;0.456600;1.109897
77;66;0.455900;1.130386
78;104;0.457800;1.150899
79;60;0.464500;1.171515
80;22;0.471400;1.192256
81;49;0.483800;1.213094
82;52;0.488700;1.233959
83;69;0.499200;1.254859
84;74;0.497200;1.275859
85;92;0.509700;1.296922
86;38;0.507900;1.318119
87;16;0.523000;1.339410
88;50;0.538200;1.360724
89;96;0.539400;1.382115
90;6;0.558100;1.403633
91;97;0.564800;1.425149
92;20;0.576900;1.446756
93;91;0.573100;1.468435
94;15;0.596700;1.490238
95;3;0.601400;1.512104
96;17;0.600200;1.534039
97;14;0.598300;1.555988
98;37;0.611300;1.577959
99;70;0.614500;1.600103
100;13;0.621100;1.622249
101;67;0.630500;1.644459
102;51;0.647400;1.666714
103;10;0.673300;1.689043
104;103;0.698400;1.711426
105;89;0.732300;1.733865
106;57;0.770900;1.756339
107;23;0.806000;1.778970
108;8;0.905500;1.801677
109;0;0.000000;0.000000
