k;seed;inf;tim
0;17;0.000000;0.000046
1;76;0.001000;0.004034
2;96;0.002000;0.007278
3;82;0.003600;0.010253
4;11;0.004000;0.013292
5;97;0.004000;0.016545
6;84;0.005600;0.019790
7;4;0.008400;0.023340
8;31;0.008200;0.027164
9;86;0.009600;0.031128
10;107;0.010000;0.035186
11;95;0.011600;0.039279
12;59;0.012200;0.043437
13;61;0.014600;0.047610
14;12;0.015800;0.051853
15;33;0.018600;0.056155
16;35;0.023200;0.060555
17;30;0.025400;0.065018
18;62;0.027800;0.069550
19;83;0.039400;0.074157
20;36;0.041200;0.078942
21;53;0.047400;0.083731
22;109;0.053800;0.088587
23;64;0.054000;0.093477
24;78;0.069600;0.098480
25;2;0.075000;0.103804
26;63;0.087000;0.109462
27;72;0.084800;0.114874
28;108;0.087400;0.120233
29;79;0.094400;0.125663
30;67;0.102800;0.131125
31;0;0.104200;0.136676
32;105;0.106600;0.142316
33;73;0.108000;0.147998
34;27;0.111400;0.153707
35;54;0.112800;0.159457
36;26;0.122000;0.165310
37;87;0.124400;0.171207
38;68;0.118800;0.177158
39;71;0.140200;0.183145
40;1;0.140200;0.189177
41;65;0.150800;0.195250
42;3;0.165400;0.201351
43;94;0.195400;0.207561
44;102;0.208600;0.213855
45;56;0.236800;0.220174
46;81;0.242600;0.226541
47;92;0.241800;0.232960
48;98;0.238400;0.239410
49;106;0.261000;0.245927
50;77;0.269400;0.252455
51;21;0.268200;0.259014
52;44;0.264000;0.265594
53;75;0.272600;0.272227
54;14;0.270600;0.278874
55;43;0.286400;0.285571
56;80;0.294200;0.292278
57;5;0.300200;0.299053
58;24;0.289800;0.305856
59;49;0.299200;0.312682
60;28;0.306800;0.319575
61;93;0.315400;0.326485
62;55;0.319000;0.333439
63;6;0.322200;0.340405
64;25;0.327800;0.347409
65;40;0.325400;0.354447
66;29;0.337800;0.361497
67;48;0.333600;0.368591
68;47;0.343200;0.375724
69;41;0.352400;0.382876
70;22;0.358400;0.390052
71;32;0.369600;0.397306
72;45;0.363200;0.404572
73;88;0.393000;0.411860
74;90;0.411000;0.419198
75;57;0.416200;0.426546
76;101;0.418400;0.433953
77;8;0.434600;0.441395
78;38;0.431600;0.448843
79;46;0.436600;0.456325
80;100;0.435600;0.463827
81;7;0.440200;0.471348
82;39;0.445600;0.478903
83;70;0.445400;0.486464
84;34;0.445000;0.494071
85;60;0.449200;0.501707
86;18;0.455400;0.509379
87;42;0.461000;0.517089
88;9;0.464000;0.524807
89;66;0.473600;0.532587
90;85;0.468600;0.540343
91;99;0.484600;0.548172
92;19;0.472400;0.555992
93;50;0.486800;0.563823
94;58;0.501000;0.571687
95;91;0.516400;0.579606
96;104;0.535400;0.587560
97;74;0.543600;0.595519
98;16;0.539600;0.603532
99;51;0.567000;0.611580
100;52;0.583000;0.619642
101;69;0.596600;0.627730
102;13;0.596200;0.635797
103;37;0.606200;0.643909
104;15;0.613600;0.652041
105;20;0.632200;0.660196
106;10;0.637800;0.668380
107;103;0.662200;0.676595
108;89;0.778800;0.684838
109;23;1.000000;0.693062
