k;seed;inf;tim
0;20;0.000000;0.000044
1;79;0.003800;0.004777
2;108;0.010600;0.008043
3;86;0.023000;0.011320
4;101;0.030200;0.014643
5;56;0.032400;0.019184
6;89;0.038000;0.022998
7;107;0.039800;0.027091
8;2;0.044800;0.031221
9;62;0.046400;0.035066
10;14;0.049400;0.039019
11;103;0.047000;0.043175
12;83;0.057200;0.047523
13;4;0.062200;0.052072
14;85;0.070400;0.056770
15;7;0.084000;0.061644
16;67;0.086600;0.066685
17;15;0.096000;0.071845
18;64;0.100200;0.077074
19;78;0.103400;0.082344
20;46;0.109200;0.087685
21;6;0.118200;0.093085
22;66;0.114000;0.098532
23;68;0.120600;0.104043
24;8;0.132000;0.109634
25;98;0.125800;0.115224
26;38;0.144000;0.120889
27;76;0.140000;0.126616
28;81;0.151800;0.132392
29;72;0.156800;0.138227
30;111;0.161600;0.144102
31;82;0.167000;0.150038
32;47;0.176800;0.156003
33;59;0.182200;0.162041
34;9;0.176200;0.168106
35;57;0.182800;0.174229
36;84;0.183600;0.180434
37;17;0.192800;0.186674
38;87;0.196200;0.192979
39;5;0.199000;0.199304
40;43;0.200200;0.205738
41;93;0.201600;0.212168
42;0;0.205600;0.218683
43;11;0.207200;0.225239
44;41;0.210000;0.231842
45;29;0.220000;0.238476
46;75;0.224400;0.245193
47;39;0.230800;0.251964
48;24;0.246200;0.258799
49;70;0.243200;0.265654
50;71;0.241600;0.272537
51;3;0.247400;0.279490
52;42;0.256800;0.286475
53;22;0.251000;0.293521
54;58;0.253800;0.300577
55;65;0.249800;0.307695
56;94;0.250000;0.314835
57;74;0.243000;0.322016
58;28;0.253000;0.329247
59;90;0.263200;0.336505
60;10;0.261200;0.343794
61;30;0.261000;0.351099
62;44;0.265200;0.358435
63;32;0.279400;0.365792
64;37;0.292600;0.373182
65;53;0.284200;0.380621
66;109;0.289800;0.388102
67;60;0.306800;0.395608
68;1;0.304800;0.403173
69;48;0.311800;0.410773
70;34;0.311400;0.418416
71;95;0.316600;0.426090
72;80;0.318600;0.433803
73;61;0.312200;0.441550
74;63;0.321000;0.449322
75;31;0.328000;0.457132
76;73;0.315000;0.464957
77;45;0.318000;0.472839
78;49;0.334800;0.480738
79;97;0.334200;0.488661
80;50;0.339400;0.496626
81;91;0.349200;0.504642
82;96;0.356200;0.512670
83;25;0.364800;0.520750
84;105;0.363000;0.528847
85;51;0.362600;0.536967
86;99;0.369600;0.545159
87;33;0.379000;0.553378
88;27;0.373800;0.561625
89;52;0.399000;0.569895
90;102;0.393600;0.578203
91;104;0.395200;0.586539
92;100;0.398200;0.594911
93;35;0.389000;0.603305
94;54;0.404600;0.611745
95;110;0.421000;0.620224
96;21;0.431200;0.628763
97;26;0.427200;0.637303
98;16;0.446200;0.645872
99;40;0.454000;0.654478
100;19;0.460800;0.663109
101;55;0.480000;0.671772
102;77;0.490600;0.680468
103;92;0.496000;0.689193
104;18;0.517400;0.697964
105;106;0.547200;0.706777
106;12;0.541400;0.715606
107;23;0.555400;0.724474
108;69;0.575400;0.733377
109;13;0.659400;0.742264
