k;seed;inf;tim
0;21;0.000000;0.000780
1;2050;0.000000;0.422607
2;1731;0.000000;0.846103
3;1256;0.000000;1.269755
4;1818;0.000000;1.692202
5;1796;0.000000;2.115754
6;1929;0.000000;2.538750
7;1498;0.000000;2.961523
8;35;0.000000;3.385895
9;1294;0.000000;3.808733
10;2070;0.000000;4.231992
11;1978;0.000000;4.655022
12;150;0.000000;5.079517
13;1765;0.000000;5.504190
14;32;0.000000;5.927123
15;2049;0.000000;6.350377
16;1811;0.000000;6.773701
17;1572;0.000000;7.197499
18;1913;0.000000;7.621384
19;86;0.000100;8.044853
20;760;0.000100;8.468269
21;1802;0.000000;8.891404
22;1960;0.000100;9.314611
23;1313;0.000000;9.738344
24;1730;0.000000;10.162650
25;410;0.000000;10.585798
26;2087;0.000200;11.009872
27;2084;0.000100;11.432944
28;1788;0.000100;11.858156
29;1785;0.000400;12.282413
30;69;0.000200;12.705647
31;979;0.000300;13.128973
32;2023;0.000400;13.551904
33;155;0.000200;13.975801
34;1798;0.000500;14.399203
35;1608;0.000800;14.822511
36;1530;0.000300;15.246230
37;243;0.000900;15.669493
38;768;0.000900;16.094027
39;2048;0.000400;16.518505
40;1258;0.000900;16.942586
41;255;0.000900;17.366312
42;462;0.001500;17.789310
43;2059;0.001200;18.212877
44;1749;0.001800;18.636839
45;1853;0.001500;19.060482
46;432;0.002200;19.484244
47;17;0.002100;19.907138
48;593;0.002000;20.330634
49;1703;0.002800;20.754686
50;37;0.002900;21.179375
51;1345;0.002700;21.604050
52;39;0.003000;22.027452
53;570;0.002500;22.452607
54;36;0.003400;22.876994
55;2064;0.003300;23.301948
56;1443;0.004400;23.726879
57;983;0.004000;24.150555
58;1851;0.003700;24.575602
59;1941;0.004300;25.001440
60;535;0.004200;25.426023
61;411;0.006000;25.851050
62;1684;0.006000;26.277024
63;1296;0.005300;26.702521
64;71;0.006000;27.128571
65;1803;0.007500;27.553690
66;695;0.007400;27.979747
67;1673;0.008100;28.406902
68;1177;0.008200;28.832911
69;2046;0.009100;29.258934
70;1368;0.008100;29.684074
71;1733;0.008200;30.110515
72;1458;0.009500;30.537855
73;409;0.009100;30.962814
74;273;0.009600;31.388934
75;2039;0.008600;31.815185
76;1276;0.009000;32.241771
77;10;0.008400;32.669273
78;1217;0.009800;33.094337
79;1326;0.008500;33.522943
80;453;0.010100;33.948997
81;1663;0.009600;34.375720
82;66;0.010200;34.803907
83;215;0.010200;35.229391
84;1355;0.010700;35.655486
85;2031;0.010300;36.081122
86;1507;0.010500;36.508570
87;162;0.010800;36.935600
88;1396;0.011100;37.363076
89;191;0.010200;37.789434
90;1647;0.011000;38.215711
91;230;0.010900;38.642389
92;1412;0.011600;39.069650
93;1466;0.011500;39.495502
94;1995;0.011000;39.922107
95;1526;0.011400;40.347911
96;1459;0.012000;40.774620
97;61;0.012400;41.202447
98;60;0.012000;41.628520
99;227;0.012800;42.054453
100;1863;0.011700;42.480763
101;100;0.012900;42.907693
102;2057;0.012600;43.335834
103;1411;0.012100;43.761563
104;857;0.012500;44.187829
105;926;0.012400;44.614003
106;1330;0.013100;45.041008
107;1080;0.014100;45.468935
108;1006;0.012700;45.895142
109;803;0.013400;46.322638
110;204;0.013700;46.748723
111;2055;0.014100;47.175568
112;471;0.015900;47.604326
113;1847;0.014600;48.030792
114;1518;0.014300;48.457291
115;985;0.015600;48.884689
116;864;0.015600;49.312625
117;1919;0.014600;49.741888
118;2061;0.016200;50.169293
119;1793;0.016900;50.597096
120;27;0.017000;51.024496
121;1638;0.016900;51.452855
122;1958;0.018400;51.881338
123;769;0.016400;52.310776
124;1740;0.016600;52.738643
125;1644;0.017100;53.166727
126;1992;0.018700;53.594542
127;323;0.020000;54.023895
128;254;0.018200;54.453230
129;1213;0.020500;54.882717
130;685;0.021100;55.310802
131;2085;0.020600;55.738789
132;242;0.018600;56.167534
133;2026;0.019000;56.595433
134;1346;0.020800;57.025238
135;300;0.020700;57.454069
136;124;0.021900;57.881872
137;441;0.020600;58.310204
138;1690;0.021600;58.738248
139;1815;0.021700;59.167159
140;2062;0.022100;59.597266
141;1532;0.024000;60.025337
142;1401;0.023800;60.455766
143;1550;0.021700;60.884506
144;1303;0.024500;61.313888
145;486;0.024200;61.744363
146;1989;0.024000;62.172826
147;1596;0.023900;62.601192
148;1478;0.023500;63.030509
149;1736;0.025800;63.459789
150;343;0.025900;63.890320
151;1967;0.026400;64.318475
152;1417;0.026500;64.747649
153;534;0.027100;65.177234
154;804;0.028100;65.606726
155;1362;0.026900;66.036880
156;137;0.026900;66.465765
157;269;0.026900;66.894917
158;109;0.030100;67.323753
159;1674;0.029400;67.752656
160;2036;0.029100;68.183493
161;1700;0.029000;68.612985
162;1070;0.030500;69.042256
163;1587;0.030300;69.471568
164;1179;0.031100;69.900807
165;2081;0.032100;70.332977
166;2079;0.032900;70.762899
167;619;0.035700;71.192255
168;433;0.033300;71.622077
169;1250;0.033300;72.051150
170;47;0.033500;72.482201
171;2086;0.034300;72.912323
172;1293;0.037400;73.341355
173;1750;0.036500;73.770851
174;1297;0.037200;74.200045
