k;seed;inf;tim
0;21;0.000000;0.000114
1;2070;0.000000;0.982716
2;1256;0.000000;1.968763
3;2052;0.000000;2.953205
4;2032;0.000000;3.939150
5;1818;0.000000;4.926512
6;2084;0.000000;5.911702
7;1294;0.000000;6.897480
8;2064;0.000000;7.881679
9;1929;0.000000;8.868765
10;1815;0.000100;9.854010
11;1731;0.000000;10.841810
12;1796;0.000000;11.828891
13;1497;0.000100;12.815463
14;2037;0.000200;13.802739
15;1498;0.000200;14.789625
16;1959;0.000300;15.776395
17;1795;0.000200;16.762486
18;1957;0.000500;17.749125
19;1732;0.000500;18.735859
20;1928;0.000300;19.722729
21;1794;0.000400;20.709061
22;436;0.000500;21.695760
23;1609;0.000700;22.682321
24;2046;0.000600;23.668985
25;1293;0.000900;24.656102
26;1302;0.000900;25.642757
27;1297;0.001000;26.629100
28;1700;0.000900;27.616018
29;1415;0.000700;28.602427
30;1079;0.001000;29.590138
31;1817;0.001300;30.577941
32;2024;0.001300;31.565519
33;1861;0.001500;32.554074
34;1837;0.002000;33.542122
35;1801;0.001600;34.530278
36;433;0.001400;35.517120
37;2039;0.002700;36.505636
38;1723;0.002700;37.493997
39;2050;0.002900;38.483757
40;1674;0.003000;39.471591
41;2051;0.003300;40.460041
42;1975;0.003600;41.449419
43;1255;0.003600;42.438826
44;2086;0.003800;43.427390
45;985;0.003500;44.416256
46;1614;0.004200;45.405954
47;2088;0.004000;46.394520
48;535;0.003900;47.384200
49;1369;0.004200;48.372641
50;1690;0.004100;49.363052
51;632;0.005100;50.351776
52;1565;0.005200;51.342503
53;1913;0.004700;52.332373
54;2031;0.005500;53.321989
55;1854;0.004900;54.312175
56;2030;0.005300;55.301895
57;1897;0.004600;56.290836
58;2072;0.005200;57.281064
59;2036;0.005300;58.272812
60;1326;0.005200;59.261608
61;2079;0.004800;60.251582
62;2078;0.005700;61.240794
63;2092;0.005500;62.230967
64;1968;0.005700;63.223036
65;1416;0.005100;64.211617
66;1810;0.006300;65.203128
67;760;0.005600;66.192359
68;2061;0.006100;67.182668
69;1740;0.005500;68.173739
70;1765;0.006000;69.165314
71;1956;0.006300;70.157799
72;272;0.006700;71.149305
73;1672;0.007100;72.139930
74;1417;0.007200;73.131184
75;1798;0.007600;74.122099
76;1973;0.008500;75.113508
77;168;0.008000;76.105690
78;1496;0.007800;77.098211
79;1572;0.007900;78.089473
80;586;0.008500;79.082824
81;1924;0.009500;80.060801
82;2081;0.009200;80.986905
83;2013;0.010500;81.927477
84;2049;0.011800;82.918181
85;1727;0.011200;83.907418
86;1987;0.011000;84.897462
87;1550;0.010900;85.888859
88;2069;0.012000;86.877875
89;1276;0.012100;87.869118
90;2071;0.011500;88.860511
91;1730;0.012300;89.851622
92;1663;0.012300;90.842617
93;1518;0.011900;91.833888
94;1769;0.013700;92.826841
95;1712;0.013800;93.817073
96;550;0.013000;94.808523
97;2015;0.012800;95.799153
98;2001;0.012900;96.791249
99;1792;0.014000;97.782521
100;1505;0.013300;98.774005
101;1711;0.011800;99.767561
102;1254;0.014400;100.758500
103;2083;0.015100;101.751267
104;1299;0.015700;102.742219
105;1197;0.015100;103.735718
106;1179;0.015400;104.727911
107;2000;0.015500;105.723384
108;1826;0.016000;106.718272
109;77;0.015900;107.712878
110;1313;0.016300;108.706995
111;1859;0.016000;109.699637
112;2077;0.016000;110.697907
113;1576;0.017400;111.690823
114;2033;0.017200;112.686268
115;1852;0.019500;113.680265
116;1494;0.019900;114.674785
117;843;0.018400;115.668814
118;2006;0.018800;116.663730
119;1967;0.021300;117.660877
120;2028;0.019600;118.654345
121;1906;0.021000;119.651052
122;2029;0.021300;120.644492
123;2017;0.021000;121.641597
124;1988;0.021600;122.636031
125;981;0.022300;123.633464
126;1280;0.023400;124.629632
