k;seed;inf;tim
0;33;0.024700;18.865335
10;10;0.064720;677.903309
20;26;0.094620;1503.807830
30;17;0.123020;2576.937066
40;19;0.140720;3780.000779
50;53;0.150770;5045.011226
60;68;0.159770;6347.475688
70;37;0.167960;7676.091405
80;70;0.184730;9043.273920
90;71;0.195950;10411.588942
100;226;0.205150;11765.797186
110;122;0.218500;13105.849517
120;94;0.224230;14418.079258
130;151;0.230630;15708.940600
140;127;0.234260;16980.491239
150;174;0.244020;18224.995533
160;135;0.248280;19445.108174
170;147;0.248430;20635.808498
180;158;0.251580;21808.310886
190;163;0.277670;22953.673217
200;300;0.283030;24072.698016
210;172;0.290400;25158.674999
220;195;0.307620;26216.102880
230;199;0.316660;27251.180660
240;212;0.333730;28259.720334
