k;seed;inf;tim
0;38;0.008020;0.006722
10;200;0.090240;0.846800
20;339;0.186170;29.994696
30;236;0.196800;32.530956
40;482;0.205920;104.811753
50;300;0.208920;107.718019
60;329;0.208760;223.185467
70;267;0.212110;226.272195
80;499;0.217620;382.175920
90;326;0.221410;385.558327
100;422;0.224700;590.110725
110;147;0.226410;593.552406
120;22;0.226470;846.487954
130;81;0.228900;849.978070
140;153;0.236350;1149.262504
150;373;0.230750;1152.759548
160;370;0.238770;1496.348718
170;49;0.240720;1499.983403
180;274;0.239020;1893.750026
190;255;0.240580;1897.328876
200;288;0.242120;2332.459291
210;455;0.251620;2336.057356
220;496;0.269550;2866.976901
230;478;0.285130;2870.990367
240;396;0.288540;3472.052954
250;382;0.322870;3476.295611
