k;seed;inf;tim
0;271;0.008390;0.000034
10;497;0.092600;1.557788
20;92;0.193650;4.265206
30;123;0.267560;7.850754
40;363;0.376210;12.157152
50;134;0.436990;16.846290
60;365;0.499720;21.885150
70;120;0.553840;27.311487
80;322;0.583840;32.908473
90;107;0.621070;38.702281
100;156;0.650680;44.626099
110;323;0.678250;50.743308
120;385;0.693820;57.031072
130;181;0.723570;63.409141
140;28;0.740020;70.162339
150;455;0.750940;76.853625
160;105;0.758570;83.476151
170;276;0.773980;89.858280
180;132;0.794630;96.083395
190;183;0.811140;102.494672
200;118;0.828980;108.829328
210;394;0.841850;115.235366
220;448;0.858000;121.834034
230;292;0.872690;128.389219
240;63;0.878130;135.191597
250;97;0.884880;142.043084
260;130;0.121591;148.868678
