k;seed;inf;tim
0;271;0.008230;0.000121
10;91;0.094470;1.453426
20;157;0.196060;3.998379
30;339;0.288260;7.366692
40;405;0.366620;11.379069
50;111;0.432240;15.785756
60;489;0.507640;20.502475
70;483;0.548420;25.436903
80;32;0.590970;30.528170
90;53;0.629240;35.744542
100;278;0.657730;41.065643
110;70;0.681270;46.492824
120;67;0.703390;51.979467
130;44;0.714570;57.521168
140;119;0.725200;63.102325
150;72;0.734660;68.725128
160;371;0.746130;74.387306
170;349;0.749190;80.088887
180;367;0.756020;85.809777
190;327;0.763950;91.554593
200;102;0.770300;97.323467
210;377;0.772800;103.122500
220;401;0.780370;108.928210
230;153;0.784720;114.752357
240;469;0.791880;120.593724
250;307;0.798180;126.438849
