k;seed;inf;tim
0;13;0.000100;2.862241
10;45;0.002000;136.152375
20;3;0.003300;292.525930
30;426;0.004800;465.750136
40;15;0.005600;648.423407
50;25;0.006900;833.583192
60;31;0.008700;1026.971294
70;38;0.010200;1216.077503
80;486;0.011300;1406.662406
90;57;0.012100;1592.608334
100;63;0.012400;1779.166646
110;73;0.013700;1967.186295
120;86;0.014000;2149.991682
130;124;0.014700;2327.129918
140;99;0.014600;2499.186470
150;104;0.016100;2663.338038
160;123;0.017000;2829.417405
170;139;0.016200;3000.343128
180;143;0.017200;3168.104844
190;154;0.017600;3334.420577
200;183;0.017800;3491.533826
210;168;0.018900;3650.017912
220;179;0.019800;3794.933524
230;305;0.021300;3935.094431
240;198;0.022300;4076.801954
250;235;0.023800;4219.340958
260;223;0.025100;4355.278494
270;233;0.027800;4495.816863
280;245;0.028600;4630.450402
290;278;0.030400;4760.161840
300;276;0.030900;4884.970179
310;279;0.032700;4999.409071
