k;seed;inf;tim
0;499;0.000000;0.001428
10;419;0.000000;0.104937
20;4;0.000000;0.319198
30;8;0.001700;0.618696
40;232;0.005100;1.033164
50;387;0.011600;1.578500
60;361;0.017800;2.269780
70;3;0.032500;3.118098
80;407;0.051700;4.106484
90;353;0.076500;5.223765
100;324;0.106000;6.478848
110;175;0.141900;7.868592
120;440;0.193200;9.417708
130;379;0.257200;11.102121
140;129;0.295400;12.902623
150;389;0.327100;14.793626
160;219;0.356500;16.766082
170;473;0.383300;18.803456
180;230;0.422800;20.895949
190;398;0.444100;23.038425
200;478;0.468400;25.224479
210;356;0.497400;27.441058
220;68;0.508900;29.689887
230;322;0.526100;31.903704
240;431;0.547900;34.137776
250;291;0.580800;36.399207
260;144;0.639500;38.687569
270;111;0.665700;40.997449
280;472;0.699800;43.327747
290;367;0.725900;45.670820
300;246;0.735800;48.022239
310;255;0.754800;50.389724
320;1296;0.000000;0.000000
