k;seed;inf;tim
0;271;0.000000;0.000125
10;344;0.002210;0.509035
20;304;0.007570;1.280197
30;489;0.017780;2.365629
40;482;0.034660;3.735431
50;239;0.053860;5.442486
60;289;0.078670;7.484083
70;310;0.095710;9.801751
80;256;0.117990;12.371210
90;273;0.137230;15.229227
100;140;0.157660;18.264094
110;499;0.176800;21.465462
120;38;0.195580;24.678356
130;434;0.224190;27.974929
140;73;0.224610;31.273730
150;402;0.224420;34.603088
160;182;0.226430;37.959246
170;388;0.225490;41.404148
180;215;0.225940;44.806033
190;381;0.227450;48.227333
