k;seed;inf;tim
0;499;0.000000;0.002552
10;351;0.056560;1.654088
20;116;0.172700;6.336366
30;463;0.278460;13.523117
40;40;0.368380;22.269417
50;476;0.434620;32.063340
60;328;0.474380;42.673032
70;125;0.518020;54.226342
80;191;0.571100;66.349236
90;435;0.620410;78.415453
100;471;0.659610;90.964215
110;68;0.686880;103.320007
120;473;0.700310;115.760782
130;314;0.723860;128.786492
140;4;0.736290;141.779380
150;154;0.747310;154.754378
160;107;0.768060;167.906741
170;494;0.783050;181.117706
180;219;0.798090;194.258394
190;208;0.807840;207.412918
200;354;0.818130;220.671341
210;137;0.828840;233.878020
220;302;0.837630;247.314408
230;81;0.846150;261.059772
240;378;0.856650;275.403286
250;492;0.000000;0.000000
