k;seed;inf;tim
0;263;0.000000;0.000126
10;360;0.002600;0.101501
20;58;0.007600;0.272156
30;474;0.018100;0.507182
40;211;0.023900;0.771219
50;468;0.032800;1.048222
60;86;0.039700;1.341128
70;201;0.054100;1.655480
80;426;0.061200;1.985657
90;479;0.066500;2.325789
100;34;0.075100;2.673538
110;123;0.085800;3.030591
120;480;0.100100;3.399961
130;162;0.106900;3.778765
140;131;0.117100;4.165511
150;361;0.137600;4.560622
160;345;0.157600;4.968183
170;397;0.173000;5.385198
180;323;0.196400;5.811683
190;326;0.227500;6.246862
200;31;0.253500;6.691772
210;470;0.284800;7.143308
220;42;0.314000;7.600269
230;356;0.364700;8.064410
240;29;0.412200;8.535467
250;395;0.456300;9.011954
260;434;0.478200;9.491405
270;441;0.481100;9.972632
280;189;0.485800;10.455326
290;192;0.493100;10.939827
300;392;0.493400;11.426287
310;186;0.503400;11.914355
