k;seed;inf;tim
0;499;0.000000;0.001030
10;467;0.000000;0.027228
20;430;0.000000;0.097588
30;468;0.000000;0.204244
40;216;0.000000;0.345078
50;183;0.000000;0.520795
60;427;0.000700;0.725436
70;435;0.002400;0.964676
80;63;0.005000;1.239747
90;235;0.008500;1.552285
100;415;0.011800;1.913034
110;346;0.018900;2.329550
120;167;0.028500;2.808299
130;405;0.039900;3.342691
140;447;0.051800;3.934799
150;217;0.064800;4.587524
160;121;0.077300;5.309576
170;326;0.096100;6.121878
180;224;0.113600;7.018209
190;362;0.129500;7.970421
200;151;0.147900;8.947704
210;251;0.172100;9.975277
220;279;0.184000;11.052086
230;437;0.214900;12.180641
240;241;0.238500;13.354402
250;341;0.271600;14.571983
260;131;0.287100;15.832973
270;266;0.320600;17.135297
280;230;0.348100;18.476167
290;84;0.377900;19.809531
300;294;0.400900;21.152088
310;61;0.420700;22.520767
320;1296;0.000000;0.000000
