k;seed;inf;tim
0;499;0.000000;0.000826
10;452;0.000000;0.024431
20;432;0.000000;0.084552
30;315;0.000000;0.175847
40;211;0.000000;0.295676
50;237;0.000000;0.443350
60;160;0.000700;0.617373
70;109;0.002900;0.821899
80;493;0.004900;1.059503
90;475;0.008700;1.332363
100;388;0.012800;1.648425
110;212;0.018400;2.012053
120;234;0.028200;2.429469
130;153;0.036900;2.895291
140;482;0.050800;3.395907
150;80;0.062400;3.943984
160;376;0.075800;4.543525
170;414;0.094200;5.192246
180;420;0.114200;5.889177
190;93;0.131400;6.632176
200;91;0.148800;7.418107
210;298;0.167000;8.245295
220;421;0.189700;9.113515
230;8;0.214400;10.034027
240;199;0.240900;11.018140
250;178;0.269300;12.040186
260;409;0.292500;13.102293
270;431;0.325600;14.182459
280;391;0.348700;15.261493
290;230;0.377300;16.369309
300;110;0.404800;17.501553
310;294;0.418700;18.655714
320;-147752736;0.000000;0.000000
