k;seed;inf;tim
0;1;0.000000;0.001232
10;3393;0.000300;11.510988
20;3146;0.000450;23.882009
30;1563;0.000800;36.262389
40;3339;0.001700;48.677231
50;2127;0.001950;61.130442
60;3529;0.002500;73.622355
70;888;0.002400;86.151383
80;3605;0.003150;98.714612
90;3634;0.003550;111.102520
100;3443;0.004200;122.394620
110;2512;0.004700;133.695416
120;2245;0.005500;145.012644
130;3188;0.006150;156.342421
140;3026;0.006100;167.684640
150;3499;0.006850;179.053105
160;3033;0.007000;190.454467
170;1807;0.008400;201.863207
180;614;0.008500;213.278193
190;2215;0.008500;224.720765
