k;seed;inf;tim
0;200;0.000000;0.000079
10;138;0.000000;0.451849
20;115;0.000000;1.019748
30;5;0.000000;1.645351
40;133;0.001540;2.307513
50;257;0.010810;3.206745
60;295;0.024390;4.389550
70;58;0.029720;5.825952
80;43;0.038290;7.395702
90;206;0.057610;9.131441
100;320;0.072430;10.970449
110;250;0.074000;12.842169
120;92;0.082360;14.748618
130;47;0.101020;16.774491
140;177;0.119110;18.899173
150;246;0.171060;21.090183
160;342;0.228860;23.359950
170;0;0.306230;25.697078
180;22;0.361280;28.102929
190;263;0.415910;30.559479
200;197;0.495510;33.059008
210;304;0.498910;35.588103
