k;seed;inf;tim
0;216;0.000000;0.000028
10;288;0.000000;0.435396
20;174;0.000000;0.888771
30;161;0.000230;1.386370
40;350;0.001550;1.974409
50;155;0.004970;2.690859
60;106;0.012000;3.569682
70;362;0.021100;4.633167
80;259;0.034820;5.880915
90;159;0.053250;7.325120
100;235;0.073650;8.987792
110;113;0.095250;10.818060
120;305;0.125900;12.855140
130;394;0.163700;15.077162
140;192;0.208690;17.455493
150;84;0.274010;20.052424
160;364;0.342730;22.824506
170;319;0.387880;25.780009
180;268;0.426880;28.854112
190;201;0.455840;32.075240
200;98;0.514900;35.326400
210;88;0.542030;38.641090
220;398;0.567840;42.021559
230;258;0.605040;45.456939
240;257;0.651040;48.966821
250;283;0.001563;52.502218
