k;seed;inf;tim
0;399;0.000000;0.003517
10;314;0.000000;0.449641
20;304;0.000000;1.068373
30;3;0.000020;1.789096
40;86;0.000980;2.783835
50;158;0.004080;4.342638
60;155;0.008720;6.451359
70;381;0.016390;9.186014
80;341;0.029450;12.657652
90;265;0.048090;16.858856
100;232;0.068870;21.722929
110;198;0.092760;27.208756
120;305;0.126720;33.633094
130;270;0.158800;40.734368
140;40;0.202640;48.425503
150;208;0.258420;56.666711
160;56;0.328430;65.087866
170;182;0.377680;74.308907
180;338;0.421440;84.015106
190;268;0.459750;93.904138
200;201;0.501740;104.251268
210;295;0.526650;114.674591
220;319;0.544090;124.873395
230;18;0.571500;135.143993
240;147;0.598110;145.548767
250;1617;0.000000;0.000000
