k;seed;inf;tim
0;216;0.000000;0.000098
10;391;0.000000;0.483431
20;288;0.000000;1.053582
30;228;0.000620;1.638732
40;291;0.009510;2.731637
50;253;0.023650;4.302264
60;62;0.029480;6.197106
70;318;0.041560;8.270527
80;31;0.058170;10.475621
90;224;0.068430;12.861186
100;128;0.073080;15.339240
110;200;0.078180;17.823922
120;342;0.089380;20.368171
130;241;0.101230;22.971527
140;278;0.116080;25.623593
150;15;0.130580;28.437081
160;330;0.155160;31.407802
170;235;0.185590;34.449520
180;36;0.223420;37.563696
190;74;0.265320;40.800676
200;361;0.302740;44.159000
210;151;0.361480;47.603706
220;351;0.423800;51.086109
230;371;0.497560;54.807324
240;270;0.502250;58.428158
