k;seed;inf;tim
0;231;0.000000;12.844117
10;427;0.000000;58.663840
20;447;0.000800;78.209262
30;15;0.004450;241.590841
40;437;0.009100;239.247872
50;354;0.018620;244.362484
60;173;0.030620;281.323782
70;112;0.034380;314.639992
80;439;0.054820;365.370951
90;177;0.063370;382.892263
100;50;0.073540;393.658259
110;50;0.076340;307.256033
120;224;0.081980;312.194277
130;350;0.096660;375.433232
140;257;0.115800;412.744632
150;84;0.123440;394.427427
160;376;0.136820;478.266678
170;90;0.153150;490.244154
180;231;0.177090;488.372706
190;416;0.213340;744.025350
200;292;0.335360;1345.251785
210;326;0.391330;739.179328
220;26;0.447440;874.865781
230;170;0.484500;659.110406
240;129;0.503860;611.433232
250;261;0.509220;578.440289
260;243;0.515730;582.281420
270;51;0.523920;531.207552
