k;seed;inf;tim
0;449;0.000000;0.003275
10;340;0.000000;0.222515
20;247;0.000000;0.658542
30;9;0.000000;1.311079
40;169;0.000450;2.177717
50;219;0.002130;3.548719
60;355;0.006570;5.624298
70;371;0.013950;8.594623
80;377;0.026580;12.491374
90;324;0.044270;17.324874
100;163;0.064930;23.118278
110;182;0.096560;29.657200
120;385;0.121780;36.770560
130;26;0.151010;44.735897
140;248;0.196060;52.995534
150;41;0.248470;61.997610
160;391;0.301720;71.455365
170;264;0.342770;81.552773
180;413;0.389220;92.083810
190;313;0.436990;102.959927
200;176;0.465670;113.994573
210;411;0.491740;125.329020
220;130;0.510920;136.827660
230;111;0.520870;148.435275
240;349;0.534940;160.198891
250;393;0.545910;172.047668
260;405;0.561550;184.103108
270;6;0.596240;196.086964
280;1136;0.000000;0.000000
