k;seed;inf;tim
0;13;0.000000;0.000023
10;330;0.000000;0.077457
20;313;0.000000;0.188805
30;300;0.000000;0.359207
40;257;0.000000;0.568255
50;186;0.000000;0.788858
60;167;0.000000;1.030537
70;121;0.000000;1.318980
80;45;0.000000;1.648578
90;42;0.000260;2.010698
100;109;0.001530;2.433937
110;108;0.003350;2.927032
120;64;0.008930;3.499273
130;218;0.016860;4.166159
140;237;0.023370;4.938866
150;96;0.030240;5.794084
160;6;0.050660;6.736288
170;273;0.066850;7.775879
180;136;0.086460;8.912078
190;161;0.105330;10.141483
200;92;0.121860;11.455302
210;77;0.152710;12.863912
220;172;0.000000;14.370748
