k;seed;inf;tim
0;349;0.000000;0.003058
10;329;0.000000;0.104548
20;309;0.000000;0.306313
30;288;0.000000;0.687811
40;276;0.000000;1.166379
50;186;0.000000;1.682096
60;151;0.000000;2.276447
70;122;0.000000;3.036409
80;65;0.000000;3.920272
90;79;0.000160;4.897842
100;88;0.000910;6.047250
110;304;0.002580;7.394234
120;64;0.006170;8.970806
130;95;0.012690;10.784362
140;272;0.022810;12.924527
150;214;0.030000;15.359455
160;35;0.043000;18.073753
170;150;0.062640;21.130831
180;206;0.084320;24.469301
190;256;0.103880;28.084799
200;92;0.118580;31.963674
210;232;0.144970;36.133297
220;36;0.000000;0.000000
